date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i,
body,11:46.3,"(1, 1)",5878,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.693686383,0.173122066,0.487206573,0.477876106,0.68877551,0.609480813,0.646706587,0
body,11:48.7,"(1, 1)",5878,Yes,0.2,RandomForest,0.063380282,9,0.936619718,0.651981603,0.181924883,0.448284149,0.454225352,0.648241206,0.602803738,0.624697337,1
body,11:51.1,"(1, 1)",5878,Yes,0.2,RandomForest,0.070422535,10,0.929577465,0.642213378,0.186032864,0.439514867,0.441901408,0.6275,0.599045346,0.612942613,2
body,11:53.4,"(1, 1)",5878,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.675994658,0.176643192,0.475628773,0.469135802,0.670025189,0.610091743,0.638655462,3
body,11:55.6,"(1, 1)",5878,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.693119974,0.164319249,0.501131791,0.497307002,0.719480519,0.616926503,0.664268585,4
body,11:57.8,"(1, 1)",5878,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.68916832,0.174295775,0.479474067,0.468694097,0.675257732,0.605080831,0.638246041,5
body,12:00.0,"(1, 1)",5878,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.696748001,0.178403756,0.473775989,0.462897527,0.702412869,0.575824176,0.632850242,6
body,12:02.2,"(1, 1)",5878,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.616584075,0.181338028,0.454837357,0.451154529,0.630272953,0.61352657,0.621787026,7
body,12:04.3,"(1, 1)",5878,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.648492998,0.17370892,0.459590879,0.459854015,0.654545455,0.607228916,0.63,8
body,12:06.5,"(1, 1)",5878,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.638234185,0.16842723,0.470892019,0.465549348,0.614250614,0.657894737,0.635324015,9